t,xA,yA,xB,yB,xC,yC
0.000000,-2.635059,0.775637,-2.489796,1.428571,-0.882132,1.761682
0.004348,-2.635059,0.775637,-2.491492,1.431499,-0.881805,1.761274
0.008697,-2.634056,0.775175,-2.490243,1.430618,-0.881246,1.761054
0.013045,-2.634535,0.774986,-2.489591,1.429124,-0.880626,1.760989
0.017394,-2.634523,0.774557,-2.489556,1.429580,-0.880855,1.760601
0.021742,-2.634600,0.774830,-2.489470,1.428632,-0.880427,1.761144
0.026091,-2.665655,0.773741,-2.487390,1.424909,-0.879195,1.760158
0.030439,-2.666909,0.773736,-2.488211,1.424331,-0.879434,1.759018
0.034788,-2.664391,0.774378,-2.484311,1.444726,-0.879009,1.760209
0.039136,-2.665173,0.774634,-2.483865,1.441741,-0.879266,1.760219
0.043485,-2.665207,0.774344,-2.482911,1.435237,-0.878184,1.760097
0.047833,-2.666661,0.772939,-2.483571,1.431732,-0.873843,1.755224
0.052182,-2.665460,0.773209,-2.475759,1.442406,-0.869822,1.752147
0.056530,-2.666008,0.773667,-2.474544,1.425643,-0.859007,1.748871
0.060879,-2.664981,0.773781,-2.468083,1.431004,-0.852247,1.743213
0.065227,-2.665947,0.773762,-2.458975,1.440902,-0.844499,1.737507
0.069575,-2.665117,0.773688,-2.457424,1.424814,-0.840760,1.735005
0.073924,-2.666615,0.773666,-2.455754,1.416993,-0.835143,1.732038
0.078272,-2.664907,0.773910,-2.451009,1.421176,-0.831403,1.729646
0.082621,-2.663581,0.774415,-2.443878,1.421540,-0.821681,1.724962
0.086969,-2.662392,0.774374,-2.440994,1.414202,-0.817277,1.719045
0.091318,-2.661557,0.775056,-2.434911,1.415523,-0.808954,1.714927
0.095666,-2.658430,0.775319,-2.427241,1.414457,-0.803023,1.709264
0.100015,-2.655952,0.776044,-2.418535,1.418531,-0.792513,1.704709
0.104363,-2.650044,0.775712,-2.410796,1.426666,-0.784303,1.698845
0.108712,-2.648037,0.776062,-2.403144,1.428095,-0.776363,1.692688
0.113060,-2.647891,0.775680,-2.402578,1.407473,-0.772595,1.686902
0.117409,-2.648674,0.775783,-2.394859,1.406489,-0.761890,1.681053
0.121757,-2.648204,0.775523,-2.386328,1.412343,-0.752278,1.675516
0.126106,-2.651865,0.775418,-2.379104,1.414782,-0.751111,1.672266
0.130454,-2.626649,0.768673,-2.361498,1.394431,-0.736321,1.661514
0.134803,-2.630798,0.762675,-2.362259,1.381863,-0.731274,1.658042
0.139151,-2.634904,0.758942,-2.361472,1.372696,-0.728251,1.655945
0.143499,-2.389581,0.742694,-2.361025,1.367249,-0.727492,1.655477
