t	xA	yA	xB	yB	xC	yC
0.000000	-1.313647	1.309580	-1.094788	2.185017	-0.246709	1.610512
0.004379	-1.313962	1.307893	-1.103341	2.180854	-0.244786	1.607417
0.008759	-1.326970	1.300342	-1.113079	2.171739	-0.246687	1.604843
0.013138	-1.353914	1.293416	-1.127235	2.164265	-0.249368	1.603679
0.017517	-1.360593	1.292519	-1.140915	2.156374	-0.252342	1.600614
0.021897	-1.387814	1.286355	-1.157182	2.149068	-0.262240	1.595200
0.026276	-1.398667	1.284092	-1.174674	2.144206	-0.272113	1.604593
0.030655	-1.424374	1.277244	-1.192182	2.138345	-0.279309	1.605373
0.035035	-1.431408	1.275791	-1.206867	2.131388	-0.284126	1.601788
0.039414	-1.456486	1.268719	-1.224945	2.124640	-0.296304	1.604742
0.043793	-1.458852	1.268908	-1.243064	2.125821	-0.311016	1.618913
0.048173	-1.474877	1.261472	-1.261864	2.125140	-0.325546	1.630097
0.052552	-1.475111	1.261062	-1.274585	2.125356	-0.334829	1.633908
0.056931	-1.475095	1.260637	-1.287371	2.127798	-0.346157	1.639778
0.061311	-1.487892	1.252394	-1.298087	2.128669	-0.354539	1.647527
0.065690	-1.488181	1.252000	-1.305682	2.130293	-0.361379	1.651603
0.070069	-1.487441	1.251238	-1.314818	2.129703	-0.366374	1.654390
0.074449	-1.488215	1.251086	-1.326129	2.129037	-0.376038	1.657181
0.078828	-1.501345	1.246061	-1.340443	2.123690	-0.383334	1.661062
0.083207	-1.516376	1.237475	-1.359594	2.116379	-0.390139	1.661730
0.087587	-1.531105	1.228639	-1.378933	2.103724	-0.399014	1.665611
0.091966	-1.556580	1.213950	-1.399598	2.087344	-0.403954	1.669511
0.096345	-1.581226	1.197743	-1.421647	2.067923	-0.408238	1.662310
0.100725	-1.612169	1.173965	-1.445101	2.045275	-0.413643	1.662492
0.105104	-1.632425	1.154230	-1.466403	2.018629	-0.418331	1.655769
0.109483	-1.661830	1.133604	-1.489335	1.992798	-0.422698	1.658271
0.113863	-1.687486	1.111350	-1.512472	1.968089	-0.424575	1.654438
0.118242	-1.711332	1.085853	-1.534157	1.938819	-0.431753	1.656745
0.122621	-1.724879	1.066961	-1.553992	1.913563	-0.432473	1.654404
0.127001	-1.748205	1.043440	-1.573797	1.888461	-0.440058	1.654850
0.131380	-1.769100	1.019151	-1.591747	1.863394	-0.439505	1.653336
0.135759	-1.781765	1.002794	-1.610177	1.840408	-0.443536	1.648055
0.140139	-1.799775	0.981512	-1.626890	1.815878	-0.447206	1.651433
0.144518	-1.815030	0.958993	-1.641473	1.791848	-0.450522	1.648735
0.148897	-1.826875	0.938063	-1.656933	1.766288	-0.454118	1.651558
0.153277	-1.840569	0.916060	-1.671658	1.740573	-0.460277	1.651803
0.157656	-1.885677	0.833381	-1.713537	1.653365		
0.162035	-1.901105	0.800973	-1.728578	1.618069		
0.166415	-1.919427	0.765806	-1.742417	1.583773	-0.328782	1.692584
0.170794	-1.933694	0.725016	-1.755503	1.539603	-0.328782	1.747299
0.175173	-1.943121	0.688429	-1.769353	1.495371	-0.330296	1.748741
0.179552	-1.956254	0.647009	-1.778330	1.450065	-0.331762	1.749638
0.183932	-1.964911	0.606494	-1.790628	1.412185	-0.332436	1.749598
0.188311	-1.974411	0.565264	-1.804493	1.368169	-0.333704	1.748763
0.192690	-1.980236	0.530795	-1.813072	1.325404	-0.336976	1.749235
0.197070	-2.024939	0.735076	-1.818380	1.278229	-0.339430	1.749060
0.201449	-2.034646	0.708202	-1.822682	1.244884	-0.342353	1.748269
0.205828	-2.035175	0.710887	-1.826195	1.250088	-0.345881	1.747915
0.210208	-2.031472	0.720339	-1.823716	1.262074	-0.350011	1.747953
0.214587	-2.028697	0.730748	-1.824988	1.272617	-0.353195	1.750033
0.218966	-2.025723	0.734029	-1.827286	1.276496	-0.354358	1.750214
0.223346	-2.025664	0.737054	-1.828817	1.280253	-0.353396	1.753626
0.227725	-2.025892	0.735475	-1.829956	1.280302	-0.356937	1.755727
0.232104	-2.027304	0.725861	-1.832207	1.271349	-0.360313	1.756455
0.236484	-2.031518	0.712921	-1.835663	1.257121	-0.363211	1.757112
0.240863	-2.033817	0.709957	-1.838107	1.250306	-0.365398	1.756463
0.245242	-2.034799	0.711357	-1.838520	1.253508	-0.369127	1.758944
0.249622	-2.033626	0.711354	-1.837764	1.255221	-0.371043	1.758956
0.254001	-2.033919	0.713022	-1.838653	1.259631	-0.370795	1.761148
0.258380	-2.033435	0.712012	-1.838633	1.259944	-0.370689	1.762744
0.262760	-2.033470	0.711235	-1.839545	1.259405	-0.370652	1.762759
0.267139	-2.033480	0.711409	-1.841256	1.259231	-0.371498	1.764846
0.271518	-2.034678	0.710740	-1.844107	1.258696	-0.372924	1.765544
0.275898	-2.034413	0.710594	-1.844765	1.259126	-0.372330	1.765075
0.280277	-2.032577	0.710334	-1.843494	1.259392	-0.370264	1.764155
0.284656	-2.033641	0.711869	-1.845457	1.260858	-0.371517	1.765321
0.289036	-2.032944	0.710801	-1.845639	1.260207	-0.369768	1.763826
0.293415	-2.033220	0.711590	-1.845636	1.261103	-0.369130	1.763635
0.297794	-2.032929	0.710797	-1.845692	1.260236	-0.368516	1.762589
0.302174	-2.033483	0.711983	-1.846186	1.260797	-0.368677	1.763052
0.306553	-2.033720	0.711961	-1.846173	1.260775	-0.368750	1.762930
0.310932	-2.033233	0.711914	-1.845565	1.260574	-0.367682	1.761980
