t,xA,yA,xB,yB,xC,yC
0.000000,-1.060191,1.490894,-0.861405,2.319168,0.463834,1.722811
0.004387,-1.051479,1.488399,-0.861405,2.352299,0.469939,1.719348
0.008773,-1.037870,1.484836,-0.795143,2.385430,0.483853,1.714160
0.013160,-1.033604,1.477464,-0.785306,2.380453,0.494171,1.706328
0.017547,-1.021580,1.474924,-0.776403,2.377147,0.501690,1.703108
0.021934,-1.015076,1.468640,-0.768370,2.370253,0.514920,1.696936
0.026320,-1.005117,1.462117,-0.761388,2.364542,0.516883,1.694489
0.030707,-0.998454,1.463754,-0.756294,2.361263,0.526374,1.688987
0.035094,-0.995046,1.459638,-0.750990,2.359553,0.529174,1.685120
0.039481,-0.990014,1.462222,-0.742943,2.359729,0.535486,1.687544
0.043867,-0.985163,1.455986,-0.740094,2.355574,0.534846,1.685107
0.048254,-0.990302,1.459374,-0.745090,2.356960,0.531259,1.685850
0.052641,-0.996733,1.458477,-0.751028,2.357198,0.526520,1.687777
0.057028,-1.002130,1.463420,-0.756185,2.359251,0.513539,1.691055
0.061414,-1.013616,1.465004,-0.769272,2.364712,0.506259,1.696309
0.065801,-1.027656,1.472742,-0.780974,2.369718,0.491232,1.700247
0.070188,-1.040097,1.477862,-0.793231,2.372047,0.481016,1.702589
0.074574,-1.049767,1.481486,-0.802982,2.378666,0.475430,1.706799
0.078961,-1.059991,1.487458,-0.810875,2.384018,0.466092,1.714459
0.083348,-1.067946,1.497568,-0.820874,2.390730,0.453891,1.719925
0.087735,-1.070175,1.500391,-0.823946,2.396664,0.452942,1.724029
0.092121,-1.077750,1.502719,-0.828890,2.399669,0.449182,1.727522
0.096508,-1.075827,1.508922,-0.826500,2.402317,0.446573,1.730965
0.100895,-1.074309,1.505623,-0.829346,2.400810,0.446614,1.730948
0.105282,-1.072765,1.500466,-0.827456,2.397842,0.452328,1.725539
0.109668,-1.073760,1.497309,-0.826327,2.395314,0.447372,1.722266
0.114055,-1.071603,1.494007,-0.825047,2.393792,0.446667,1.721107
0.118442,-1.070651,1.497497,-0.823747,2.393364,0.449049,1.723953
0.122829,-1.069262,1.500250,-0.824202,2.396204,0.450510,1.723501
0.127215,-1.070897,1.497873,-0.823613,2.395635,0.451067,1.722795
0.131602,-1.072248,1.499641,-0.821952,2.399619,0.450859,1.724149
0.135989,-1.072749,1.498587,-0.824652,2.397161,0.451785,1.723878
0.140376,-1.070979,1.501364,-0.824354,2.398061,0.454957,1.725419
0.144762,-1.067789,1.502971,-0.824875,2.396094,0.456872,1.726780
