t,xA,yA,xB,yB,xC,yC
0.002,2.9,2.2,4.956771249,2.848898343,7.911194508,2.32795381
0.012,2.897924805,2.209318935,4.904867723,2.955033137,7.87108364,2.506075307
0.02,2.896611828,2.214077108,4.842084815,3.074037268,7.823678453,2.742225011
0.03,2.895292613,2.220507838,4.798750312,3.240356076,7.793732865,3.066921631
0.04,2.892324177,2.243491372,4.8017488,3.414353368,7.801348932,3.365373474
0.05,2.887703536,2.297606829,4.80761735,3.596424964,7.807599453,3.606784946
0.06,2.88256075,2.375134332,4.78386414,3.77186522,7.783827696,3.786652105
0.07,2.877631054,2.463253324,4.731705405,3.928416339,7.731675402,3.914999539
0.08,2.872766213,2.551172747,4.667318323,4.061874105,7.666688829,4.000420346
0.09,2.867837249,2.631879331,4.605633801,4.172799609,7.603101906,4.049572357
0.1,2.862664782,2.702436216,4.55295024,4.264590489,7.546582983,4.069236984
0.11,2.858793304,2.760923956,4.510510614,4.339069343,7.497936159,4.064681653
0.12,2.855243785,2.808972366,4.474675398,4.399450902,7.453321462,4.042144873
0.13,2.85193738,2.84610412,4.443143057,4.445907586,7.410809069,4.006637296
0.14,2.847976044,2.868415801,4.417274029,4.475774232,7.372929086,3.961864636
0.15,2.842561318,2.88564743,4.396843165,4.499810752,7.338725546,3.912164683
0.16,2.835813119,2.902950136,4.380771707,4.52390907,7.30657025,3.860808245
0.17,2.828067645,2.921564957,4.369523388,4.550373759,7.276684548,3.809824151
0.18,2.819528682,2.941529867,4.362349372,4.579281551,7.248452149,3.760495619
0.19,2.810542506,2.962148877,4.358847236,4.60967306,7.222047263,3.714080988
0.2,2.801553566,2.982398958,4.358409191,4.639912428,7.197342351,3.670140282
0.21,2.792913032,3.001585826,4.3603654,4.668977034,7.174068308,3.628267928
0.22,2.785201978,3.018441047,4.364571244,4.695046437,7.152984151,3.588360857
0.23,2.778903479,3.031996639,4.370374051,4.716685028,7.134664949,3.551054134
0.24,2.774451626,3.041418069,4.377382629,4.732689139,7.119655908,3.516162594
0.25,2.772271298,3.045817961,4.38514467,4.741618388,7.108640409,3.483615789
0.26,2.772548189,3.044874299,4.392809906,4.742922478,7.101451104,3.453247157
0.27,2.775093228,3.038756794,4.400391226,4.736728477,7.09784433,3.423813225
0.28,2.780288033,3.027053139,4.410192485,4.722212294,7.09820527,3.390076067
0.29,2.787136336,3.011421473,4.421181964,4.703030224,7.103523913,3.359511969
0.3,2.79552116,2.99271069,4.433895747,4.6799677,7.112823181,3.329653919
0.31,2.804878026,2.971726739,4.447866053,4.654261014,7.125403191,3.301192524
0.32,2.814917191,2.949253676,4.463023717,4.627005665,7.140695048,3.274202774
0.33,2.825364651,2.925618974,4.479168844,4.59851084,7.15822854,3.248459519
0.34,2.836210019,2.900682746,4.496473461,4.568246116,7.177310822,3.221728191
0.35,2.847343498,2.874897728,4.513645842,4.536667224,7.197209979,3.195591896
0.36,2.858563307,2.848646021,4.530684096,4.504213203,7.216993428,3.16864527
0.37,2.86984796,2.821749047,4.548305119,4.470871103,7.237195232,3.140506659
0.38,2.881221849,2.794426839,4.566090099,4.436697553,7.257380334,3.111195192
0.39,2.892614009,2.766895028,4.583334443,4.401973705,7.276866926,3.081033733
0.4,2.903986613,2.739180709,4.600361712,4.366949361,7.295905002,3.050117553
0.41,2.91537821,2.711108528,4.618152413,4.3316344,7.315456012,3.018412055
0.42,2.926698702,2.682904888,4.635986825,4.296079052,7.334401972,2.985142242
0.43,2.937952373,2.654571321,4.654060845,4.260467454,7.353003575,2.950617177
0.44,2.949110752,2.6261721,4.672304806,4.224830035,7.371209654,2.914901715
0.45,2.960182575,2.597654357,4.690670219,4.189092463,7.38905122,2.878085393
0.46,2.971190659,2.568929321,4.709157109,4.153124022,7.406641148,2.840272392
0.47,2.982165231,2.539949514,4.727565579,4.116768274,7.423724781,2.801198025
0.48,2.993117649,2.510659511,4.746014471,4.080017904,7.440422344,2.760864496
0.49,3.004087845,2.480907423,4.76455388,4.042699788,7.456977745,2.719501685
0.5,3.015092431,2.450649523,4.783048633,4.004701772,7.473280824,2.677053388
0.51,3.02614271,2.419842866,4.801494035,3.965961711,7.489357135,2.633523565
0.52,3.03724419,2.388423913,4.820044122,3.926450475,7.505445521,2.589057943
0.53,3.048371249,2.356472992,4.83855112,3.886205219,7.521311684,2.543523124
0.54,3.05951544,2.324001703,4.857078882,3.845272366,7.536968303,2.496868813
0.55,3.070656602,2.291026979,4.875683338,3.803689619,7.552480784,2.449158378
0.56,3.081803101,2.257519999,4.894369595,3.761421788,7.567886867,2.40042772
0.57,3.092937985,2.223494857,4.913140592,3.718484792,7.583220418,2.350759241
0.58,3.104114762,2.188772999,4.932485037,3.674758257,7.599160447,2.300406876
0.59,3.115403141,2.153057058,4.952385784,3.629779228,7.615963629,2.24943415
0.6,3.126671776,2.116781126,4.971540576,3.583794872,7.631913531,2.19728298
